Event_ID,Recruiter_ID,Candidate_ID,Date,Start_Time,End_Time,Availability_Status,Meeting_Duration,TimeZone,Meeting_Type,Invite_Status,Location,Department,Priority
548bacfb-c99a-4cd8-94c6-64b5ded67336,85f9503c-d12e-4280-a260-6d5779f01af7,87d743b3-3a21-49a8-b913-27644dfabf84,2024-10-25,02:56:41.267143,03:58:41.267143,Pending Confirmation,62.0,UTC-5,Project Presentation,Pending,Phone Call,Sales,Low
5102aa5e-4b77-4f05-a052-7b647421263f,4b3c016a-35de-44b6-90e4-7d076a616cdb,d9ad9551-4172-42bf-9a6c-3ee34ef33e22,2026-03-16,02:47:49.107321,04:40:49.107321,Blocked,113.0,UTC+5,HR Screening,Sent,Phone Call,Customer Success,Medium
3f006005-a429-45be-b9ea-9f84f4adc31c,7b17be3e-b495-48d1-98f6-e4baa0a276b6,1f31ea8f-5011-463d-b71c-fac21d07729c,2024-04-18,02:40:12.853605,03:25:12.853605,Pending Confirmation,45.0,UTC+1,Follow-up Meeting,Pending,Phone Call,Product,Low
4ac70ca8-01a2-4e04-92b6-c90c9161d7fa,fe49e3b7-befb-4bbb-abca-d3dc966c8c28,47b21ba3-6c84-4962-9bb0-0909211f4d4d,2025-10-02,23:21:07.012045,01:17:07.012045,Tentative,116.0,UTC-5,Technical Interview,Accepted,Phone Call,Customer Success,High
0a53b6bb-1d90-4463-aabd-e7415bfeaf9e,856c1426-87df-4ec7-b06a-8ca63baf9459,eef3b6dc-83bc-4d4e-b1df-63d2a363527f,2025-04-27,13:08:18.459373,14:00:18.459373,Available,52.0,UTC-8,Project Presentation,Pending,Zoom,Marketing,Low
63faed38-9cdc-43c4-ae19-e45f4f99b093,dcaef889-b68f-4e27-bb7c-962de38ad9be,dabe9756-26f7-42b1-900b-7016523824e3,2024-10-24,12:58:44.479765,14:50:44.479765,Booked,112.0,UTC-5,Project Presentation,Sent,Hybrid,Product,High
2b1afa95-2ab8-4954-801c-801cddf08eed,456092aa-4b60-4743-b0c3-bb3e477c63bc,f27f6aa3-78c1-4f64-983a-a8ef0ff3e3a3,2024-04-29,05:31:32.293213,06:20:32.293213,Tentative,49.0,UTC-8,Technical Interview,Sent,Hybrid,Marketing,Low
f6341484-8aab-4092-b6e9-9da44eae6eff,a682f7f2-1646-4d87-849a-dfc69592963a,b2e647bb-addb-41c1-90e0-3ab44f4421e6,2025-07-28,19:00:30.628982,19:59:30.628982,Tentative,59.0,UTC+5,HR Screening,Sent,Hybrid,Customer Success,High
261089ee-23f5-4892-a660-a1a333aa5ef6,a7b13f83-fa0b-4565-a880-99b46a063974,24653c34-8d7e-4396-9552-9c0a6efa69a9,2024-08-06,17:14:12.687501,18:36:12.687501,Tentative,82.0,UTC+5,HR Screening,Declined,Google Meet,Customer Success,High
ab993b65-d567-4990-95a9-91e4c9447bac,301f59b7-7cd5-4c82-8dd1-10864828d61e,e68a46ea-255e-4fb7-983e-1906233b052e,2024-04-22,00:16:30.104858,00:59:30.104858,Blocked,43.0,UTC+1,Follow-up Meeting,Accepted,Microsoft Teams,Product,High
80b445a5-3f6c-497f-a887-aa39a0e385eb,01244c5d-4d9c-4a47-9c38-f90b0df1d7da,e5037014-a2a3-4d86-9cf7-9ebc2696f26d,2024-04-06,03:50:45.629882,04:43:45.629882,Tentative,53.0,UTC+1,Final Round,Sent,Phone Call,Marketing,High
f78768e1-11de-46d6-beaf-a80ca2d40b68,726c6b26-f4c8-4f50-96c8-221b246936b7,aee7adbe-9c92-4027-bd5a-95255f3a6d3e,2024-05-01,15:11:39.554047,16:36:39.554047,Available,85.0,UTC+5,Final Round,Declined,Hybrid,Engineering,Medium
cd2586ee-4781-491c-a7ee-1490027de1d8,bb2c7f9d-dbf4-42c7-95be-1768161dd675,e48c3384-eb2a-4362-9966-43ed69aa2637,2025-11-24,15:56:10.649067,16:59:10.649067,Available,63.0,UTC+1,Project Presentation,Pending,Zoom,Product,Low
353da4d1-6ae0-49c3-812a-54d8323aa018,79c064df-4bd3-4e46-90c8-4d78313693ca,8b573d38-ed16-41e8-9817-f89969034cf8,2024-10-10,13:08:51.637215,14:38:51.637215,Booked,90.0,UTC+5,HR Screening,Pending,Hybrid,Sales,High
bc8c80d9-1bbd-40bb-b821-c8f6f7775d1c,91f2f42d-99c7-4103-b884-fec40df450ab,27959349-5317-4f8f-9a93-c9fe9d2b66dd,2024-07-28,11:16:37.795324,13:12:37.795324,Tentative,116.0,UTC+5,Initial Discussion,Sent,Hybrid,Marketing,Medium
a24eb84e-4617-4fea-8a08-702481c797cf,c942d145-7c38-4ee1-9377-90030da578ff,863d1165-ee91-4974-a5ab-a321b9099dfc,2024-07-03,10:56:51.026811,12:19:51.026811,Available,83.0,UTC+5,HR Screening,Pending,In-Person,Marketing,High
33294d42-3347-479e-aa37-f34886738df7,70db382c-e2f6-4a4f-b862-7d2b98a5cb2b,51f2eea9-d6a8-4bb9-8584-ddda6fd93b52,2025-12-02,03:50:03.056048,04:23:03.056048,Blocked,33.0,UTC+5,Project Presentation,Declined,In-Person,Marketing,Low
1b708357-f2cd-4c11-9559-317041cfd019,f4772492-c80a-438c-a003-1789f7a142be,76afc3ff-0268-4996-8ee6-56932540dacb,2024-12-10,07:35:57.303256,08:05:57.303256,Available,30.0,UTC-5,Project Presentation,Accepted,In-Person,Product,Medium
f662ca55-aa40-45ae-955d-8a14ec58c673,665492f6-a2e6-4ecf-9a47-fd11720670d5,a4702d22-cddd-46d8-8d10-d27f1e335808,2024-10-10,18:14:40.976819,19:58:40.976819,Pending Confirmation,104.0,UTC+1,HR Screening,Accepted,Hybrid,Product,High
6e3797a2-dcdb-4602-a544-fb34e4349c27,0020ac6f-89b1-41ca-92e5-6a433489aa37,20c7cb47-a762-44a3-8556-e645f704ef05,2024-06-22,07:13:43.619011,08:39:43.619011,Available,86.0,UTC-8,Final Round,Sent,Hybrid,Marketing,Low
c4c378e2-0019-43b8-866d-c39d17724213,46cf14ab-0b55-4512-a4e3-5931874a880d,831c9b23-3748-4374-8d04-da7c66ba5146,2025-06-06,23:52:08.650853,01:22:08.650853,Blocked,90.0,UTC+1,Project Presentation,Pending,Zoom,Marketing,Medium
5fe212b5-43a7-4e17-912c-b73113081a0f,7c9924c8-7d49-4c74-844c-850211daf582,88332b76-223f-40be-92fc-93b291de3608,2025-07-20,01:14:39.715348,02:06:39.715348,Booked,52.0,UTC+1,Initial Discussion,Sent,Hybrid,Engineering,High
81cb6521-fe90-46f8-81f8-94ab1fb129ff,3539afa2-7f25-4563-ae08-6ba30f3a7049,3ee92e2b-e7ab-4bf1-b2ff-851a49054343,2025-06-25,13:06:47.969029,14:57:47.969029,Pending Confirmation,111.0,UTC-5,Project Presentation,Accepted,Phone Call,Sales,Medium
801b0052-ddf4-482b-8f30-5976321b5ba1,b2af36b7-0d86-48eb-98f6-272fa1ee4e47,e1284c1a-98a4-4883-9c1f-3d1704df3978,2024-07-05,05:05:19.655257,05:48:19.655257,Available,43.0,UTC+1,Project Presentation,Accepted,Phone Call,Customer Success,High
ab43af5c-e349-404d-971e-ea31fa9304ba,89307863-2639-464f-8f0d-54d3b6bd5634,fa015119-ca1d-4a12-be8b-e7d8415efe18,2024-05-07,05:58:54.162297,07:16:54.162297,Available,78.0,UTC+5,Project Presentation,Sent,Zoom,Product,Medium
7a511991-9112-438c-89ce-1f3198ec10f7,0e0f014c-d3ae-4588-8c8d-1f02734111b6,152ba39e-20bf-4261-b184-3740c380c365,2024-05-15,03:37:52.092318,04:14:52.092318,Blocked,37.0,UTC+5,Final Round,Pending,Google Meet,Engineering,Medium
0493ae03-cec6-4971-b95d-036d77554bb7,38a7de79-46f7-438f-abb3-c74d1ced9cc7,01f735b6-3c39-4324-967a-509fe175bfc3,2025-01-29,20:20:18.834589,21:54:18.834589,Available,94.0,UTC+5,Initial Discussion,Declined,In-Person,Marketing,Low
5e9199c0-02a2-4d19-913c-7a28be8693a6,c23ac2be-1b6c-4364-a564-bdee16a3f873,5a344cdc-6b0c-4a3b-896f-f3d9aebf4c61,2025-07-23,15:43:42.116825,16:21:42.116825,Pending Confirmation,38.0,UTC-8,Technical Interview,Sent,In-Person,Sales,Low
166fed36-2c64-4232-bbfc-53b7881a1c8a,1caafbf4-c825-4d89-ad0b-81009ae44980,dba918ee-90d8-4d3f-96c5-32b2c64c9629,2025-05-25,11:46:06.792565,13:41:06.792565,Blocked,115.0,UTC+1,HR Screening,Declined,Google Meet,Sales,Medium
8d842142-efca-4874-98ba-a49b61c9020d,8732041b-9a40-419f-92ee-164adf427a5f,6f29701a-0626-45ff-9955-4dd9281cda5a,2025-07-15,17:37:44.237980,18:17:44.237980,Pending Confirmation,40.0,UTC-5,HR Screening,Accepted,Microsoft Teams,Customer Success,Low
fb1b7996-1da5-466e-8b49-9ce171518973,b35b56dc-cef8-4e61-b957-1ae720ea0c2b,7d9fe591-4f6f-456c-baea-493b8f852190,2024-08-10,17:09:31.941426,18:34:31.941426,Tentative,85.0,UTC+5,HR Screening,Declined,Google Meet,Customer Success,Medium
